,benchmark,nodenum=300,iterations=300,threshold=0.8,per_NICN=0.6,per_NIC=0.6,LLM=1
84,-0.32623098399301875,-0.30459795125345773,-0.31692215701163157,-0.9474935600904075,-0.2912283378938274,-0.6229481014805096,0.6413030244117589
85,-0.32640588499587464,-0.3046198116368351,-0.3170708713351708,-0.9479936185123917,-0.2913184000905801,-0.6229541951470164,0.641350912658282
86,-0.3266113865104879,-0.3046294540179422,-0.3172403801254013,-0.9484388325200703,-0.291385346650743,-0.6229465123091762,0.6413183824208439
87,-0.32674995640201565,-0.30464658496157987,-0.3174222333994358,-0.9489657357591138,-0.2915121206145961,-0.6229337693843355,0.641333676615315
88,-0.3268884103059475,-0.30465949026475886,-0.31753575264565664,-0.9494618810429791,-0.2916609862775772,-0.6229265354622867,0.6413679727927005
89,-0.32702078591686,-0.30466376131456196,-0.31773477009186396,-0.9499149378183008,-0.291782808899942,-0.6228749045605614,0.6414204775155393
90,-0.32715318517459396,-0.3046852741106884,-0.3178995156220819,-0.950352146927488,-0.29189586995165223,-0.6229008688373254,0.6414975285985715
91,-0.32727042010476437,-0.3046869212975545,-0.31805320439224916,-0.9507883279614618,-0.29203050833292,-0.6229675692486566,0.6414186644651879
92,-0.32744360960308827,-0.3046969296692755,-0.31816738580517023,-0.9511902645059712,-0.2921805973533943,-0.6229835923478445,0.6415605025268935
93,-0.3275736329082144,-0.30470648259959743,-0.3182448749884821,-0.9515416296737021,-0.2922877977655523,-0.6230192019215666,0.6416541948593327
94,-0.3276903662067405,-0.3047208882102955,-0.3183875996784017,-0.9519133652630043,-0.29237639803049087,-0.6230107223482427,0.6416639333597444
95,-0.3277894914688325,-0.3047454068797907,-0.31847383083112946,-0.9523051244546653,-0.2924839175753874,-0.6230409240649596,0.6416790342178738
96,-0.3279366142566279,-0.304774690465684,-0.3185140590744054,-0.952687379968199,-0.29260129958593384,-0.6230531587578342,0.6417589277175716
97,-0.3280260905713398,-0.3048133658943383,-0.31870292164953073,-0.9531047556930826,-0.29271310229494873,-0.6230528446266717,0.6418126504524102
98,-0.32814632542786226,-0.3048632474210952,-0.31878735066102126,-0.9534159713421826,-0.29288653472153187,-0.6230092010974798,0.6418364464982912
99,-0.32825413361863787,-0.3049851313999998,-0.3188654653093117,-0.9537938242162518,-0.29301074854461134,-0.6229985492268324,0.6418450703269615
100,-0.32841363558005815,-0.30514543256729576,-0.31896241449532875,-0.9541613910416629,-0.29315256632182896,-0.623049977010081,0.6418609814224453
101,,,-0.31908487396319996,,,,
102,,,-0.3191981729473886,,,,
103,,,-0.31928439703072126,,,,
104,,,-0.31937951843086687,,,,
105,,,-0.3195020687990681,,,,
106,,,-0.3195866814758256,,,,
107,,,-0.31955005412996285,,,,
108,,,-0.3196295562450733,,,,
109,,,-0.3197299027728166,,,,
110,,,-0.3197469849021655,,,,
111,,,-0.3197835747416147,,,,
112,,,-0.31988515264674156,,,,
113,,,-0.31994418060378066,,,,
114,,,-0.32006395608776417,,,,
115,,,-0.3202014170324463,,,,
116,,,-0.3202379431226718,,,,
117,,,-0.3203250194538016,,,,
118,,,-0.32041011769517014,,,,
119,,,-0.320467519771665,,,,
120,,,-0.3204976225708127,,,,
121,,,-0.32052479623095775,,,,
122,,,-0.32056734385590496,,,,
123,,,-0.3206124567882971,,,,
124,,,-0.320676152857669,,,,
125,,,-0.32072531278553,,,,
126,,,-0.3208080431823962,,,,
127,,,-0.3208568353116259,,,,
128,,,-0.3209029696457656,,,,
129,,,-0.32093291795007195,,,,
130,,,-0.3209782670454197,,,,
131,,,-0.3210531384152472,,,,
132,,,-0.3211508080849981,,,,
133,,,-0.3211543473853286,,,,
134,,,-0.32116104890533526,,,,
135,,,-0.32126250811007745,,,,
136,,,-0.32130257603218004,,,,
137,,,-0.3213801469131511,,,,
138,,,-0.32147121251127847,,,,
139,,,-0.3215120299451528,,,,
140,,,-0.3215605748555723,,,,
141,,,-0.32160225173909995,,,,
142,,,-0.32165255846447904,,,,
143,,,-0.32165669763414867,,,,
144,,,-0.3217466203725583,,,,
145,,,-0.32180010192080677,,,,
146,,,-0.3218770329034062,,,,
147,,,-0.321926152922672,,,,
148,,,-0.3219738500550906,,,,
149,,,-0.3220588977035279,,,,
150,,,-0.32209996404001645,,,,
151,,,-0.3221308813860959,,,,
152,,,-0.32211921408522803,,,,
153,,,-0.32229988470210097,,,,
154,,,-0.32243275059781173,,,,
155,,,-0.32269149545852843,,,,
156,,,-0.32283267699635054,,,,
157,,,-0.3229406302286622,,,,
158,,,-0.32308528613051835,,,,
159,,,-0.32313976988680726,,,,
160,,,-0.32330198598141235,,,,
